Nationality,Single Age Group,Five-Year Age Group,Governorate,Region,Gender,Population
Saudi,0,0-4,Al Bahah (Emirate HQ),Al Bahah,Female,577
Non-Saudi,0,0-4,Al Bahah (Emirate HQ),Al Bahah,Female,58
Saudi,0,0-4,Al Hujrah,Al Bahah,Female,115
Non-Saudi,0,0-4,Al Hujrah,Al Bahah,Female,1
Saudi,0,0-4,Al Aqiq,Al Bahah,Female,364
Non-Saudi,0,0-4,Al Aqiq,Al Bahah,Female,4
Saudi,0,0-4,,Al Bahah,Female,147
Non-Saudi,0,0-4,,Al Bahah,Female,5
Saudi,0,0-4,,Al Bahah,Female,381
Non-Saudi,0,0-4,,Al Bahah,Female,18
Saudi,0,0-4,,Al Bahah,Female,140
Non-Saudi,0,0-4,,Al Bahah,Female,10
Saudi,0,0-4,,Al Bahah,Female,319
Non-Saudi,0,0-4,,Al Bahah,Female,23
Saudi,0,0-4,,Al Bahah,Female,99
Non-Saudi,0,0-4,,Al Bahah,Female,1
Saudi,0,0-4,,Al Bahah,Female,110
Saudi,0,0-4,,Al Bahah,Female,264
Non-Saudi,0,0-4,,Al Bahah,Female,10
Saudi,0,0-4,,,Female,2486
Non-Saudi,0,0-4,,,Female,54
Saudi,0,0-4,,,Female,544
Non-Saudi,0,0-4,,,Female,17
Saudi,0,0-4,,,Female,2031
Non-Saudi,0,0-4,,,Female,130
Saudi,0,0-4,,,Female,1755
Non-Saudi,0,0-4,,,Female,24
Saudi,0,0-4,,,Female,247
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,846
Non-Saudi,0,0-4,,,Female,36
Saudi,0,0-4,,,Female,727
Non-Saudi,0,0-4,,,Female,48
Saudi,0,0-4,,,Female,2031
Non-Saudi,0,0-4,,,Female,133
Saudi,0,0-4,,,Female,477
Non-Saudi,0,0-4,,,Female,11
Saudi,0,0-4,,,Female,115
Non-Saudi,0,0-4,,,Female,4
Saudi,0,0-4,,,Female,2873
Non-Saudi,0,0-4,,,Female,232
Saudi,0,0-4,,,Female,598
Non-Saudi,0,0-4,,,Female,137
Saudi,0,0-4,,,Female,403
Non-Saudi,0,0-4,,,Female,33
Saudi,0,0-4,,,Female,1533
Non-Saudi,0,0-4,,,Female,69
Saudi,0,0-4,,,Female,36827
Non-Saudi,0,0-4,,,Female,10053
Saudi,0,0-4,,,Female,239
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,565
Non-Saudi,0,0-4,,,Female,41
Saudi,0,0-4,,,Female,318
Non-Saudi,0,0-4,,,Female,7
Saudi,0,0-4,,,Female,70
Non-Saudi,0,0-4,,,Female,9
Saudi,0,0-4,,,Female,609
Non-Saudi,0,0-4,,,Female,21
Saudi,0,0-4,,,Female,1023
Non-Saudi,0,0-4,,,Female,70
Saudi,0,0-4,,,Female,503
Non-Saudi,0,0-4,,,Female,28
Saudi,0,0-4,,,Female,72
Non-Saudi,0,0-4,,,Female,9
Saudi,0,0-4,,,Female,120
Non-Saudi,0,0-4,,,Female,10
Saudi,0,0-4,,,Female,289
Non-Saudi,0,0-4,,,Female,12
Saudi,0,0-4,,,Female,219
Non-Saudi,0,0-4,,,Female,11
Saudi,0,0-4,,,Female,261
Non-Saudi,0,0-4,,,Female,31
Saudi,0,0-4,,,Female,169
Non-Saudi,0,0-4,,,Female,18
Saudi,0,0-4,,,Female,594
Non-Saudi,0,0-4,,,Female,11
Saudi,0,0-4,,,Female,55
Non-Saudi,0,0-4,,,Female,7
Saudi,0,0-4,,,Female,782
Non-Saudi,0,0-4,,,Female,33
Saudi,0,0-4,,,Female,297
Non-Saudi,0,0-4,,,Female,7
Saudi,0,0-4,,,Female,452
Non-Saudi,0,0-4,,,Female,17
Saudi,0,0-4,,,Female,464
Non-Saudi,0,0-4,,,Female,23
Saudi,0,0-4,,,Female,821
Non-Saudi,0,0-4,,,Female,41
Saudi,0,0-4,,,Female,59
Non-Saudi,0,0-4,,,Female,1
Saudi,0,0-4,,,Female,326
Non-Saudi,0,0-4,,,Female,10
Saudi,0,0-4,,,Female,616
Saudi,0,0-4,,,Female,4916
Non-Saudi,0,0-4,,,Female,396
Saudi,0,0-4,,,Female,254
Non-Saudi,0,0-4,,,Female,7
Saudi,0,0-4,,,Female,192
Non-Saudi,0,0-4,,,Female,3
Saudi,0,0-4,,,Female,202
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,1137
Non-Saudi,0,0-4,,,Female,79
Saudi,0,0-4,,,Female,204
Non-Saudi,0,0-4,,,Female,9
Saudi,0,0-4,,,Female,452
Non-Saudi,0,0-4,,,Female,6
Saudi,0,0-4,,,Female,522
Non-Saudi,0,0-4,,,Female,23
Saudi,0,0-4,,,Female,220
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,10542
Non-Saudi,0,0-4,,,Female,1516
Saudi,0,0-4,,,Female,510
Non-Saudi,0,0-4,,,Female,8
Saudi,0,0-4,,,Female,552
Non-Saudi,0,0-4,,,Female,12
Saudi,0,0-4,,,Female,513
Non-Saudi,0,0-4,,,Female,14
Saudi,0,0-4,,,Female,256
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,2876
Non-Saudi,0,0-4,,,Female,278
Saudi,0,0-4,,,Female,9733
Non-Saudi,0,0-4,,,Female,430
Saudi,0,0-4,,,Female,2725
Non-Saudi,0,0-4,,,Female,463
Saudi,0,0-4,,,Female,2113
Non-Saudi,0,0-4,,,Female,1140
Saudi,0,0-4,,,Female,695
Non-Saudi,0,0-4,,,Female,48
Saudi,0,0-4,,,Female,8795
Non-Saudi,0,0-4,,,Female,1690
Saudi,0,0-4,,,Female,82
Non-Saudi,0,0-4,,,Female,1
Saudi,0,0-4,,,Female,4442
Non-Saudi,0,0-4,,,Female,75
Saudi,0,0-4,,,Female,539
Non-Saudi,0,0-4,,,Female,24
Saudi,0,0-4,,,Female,399
Non-Saudi,0,0-4,,,Female,28
Saudi,0,0-4,,,Female,4603
Non-Saudi,0,0-4,,,Female,378
Saudi,0,0-4,,,Female,301
Non-Saudi,0,0-4,,,Female,37
Saudi,0,0-4,,,Female,151
