Region,age,id,female,male,unknown
Al Bahah,0,flu,27,2,NA
Al Bahah,1,flu,4,NA,NA
Al Bahah,2,flu,1,NA,NA
Al Bahah,6,flu,4,NA,NA
Al Bahah,15,flu,1,NA,NA
Al Bahah,16,flu,1,NA,NA
Al Bahah,22,flu,1,NA,NA
Al Bahah,23,flu,1,NA,NA
Al Bahah,27,flu,1,NA,NA
Al Bahah,28,flu,1,NA,NA
Al Bahah,29,flu,1,NA,NA
Al Bahah,30,flu,NA,1,NA
Al Bahah,36,flu,2,NA,NA
Al Bahah,38,flu,2,NA,NA
Al Bahah,44,flu,1,NA,NA
Al Bahah,46,flu,1,1,NA
Al Bahah,49,flu,1,NA,NA
Al Bahah,50,flu,1,NA,NA
Al Bahah,54,flu,3,NA,NA
Al Bahah,55,flu,4,NA,NA
Al Bahah,56,flu,2,1,NA
Al Bahah,57,flu,2,4,NA
Al Bahah,58,flu,13,NA,NA
Al Bahah,59,flu,11,1,NA
Al Bahah,60,flu,3,NA,NA
Al Bahah,61,flu,11,NA,NA
Al Bahah,62,flu,3,NA,NA
Al Bahah,63,flu,4,1,NA
Al Bahah,72,flu,1,NA,NA
Al Jawf,0,flu,1,NA,NA
Al Jawf,38,flu,NA,1,NA
Al Qasim,0,flu,33,10,NA
Al Qasim,1,flu,8,1,NA
Al Qasim,2,flu,3,4,NA
Al Qasim,6,flu,4,2,NA
Al Qasim,14,flu,1,NA,NA
Al Qasim,17,flu,1,NA,NA
Al Qasim,18,flu,NA,1,NA
Al Qasim,19,flu,1,NA,NA
Al Qasim,20,flu,1,NA,NA
Al Qasim,22,flu,1,NA,NA
Al Qasim,23,flu,2,2,NA
Al Qasim,24,flu,1,2,NA
Al Qasim,25,flu,NA,2,NA
Al Qasim,26,flu,6,2,NA
Al Qasim,27,flu,1,1,NA
Al Qasim,28,flu,1,3,NA
Al Qasim,29,flu,7,2,NA
Al Qasim,30,flu,4,1,NA
Al Qasim,31,flu,2,1,NA
Al Qasim,32,flu,4,1,NA
Al Qasim,33,flu,3,2,NA
Al Qasim,34,flu,1,NA,NA
Al Qasim,35,flu,6,NA,NA
Al Qasim,36,flu,4,1,NA
Al Qasim,37,flu,3,NA,NA
Al Qasim,38,flu,6,1,NA
Al Qasim,39,flu,1,NA,NA
Al Qasim,40,flu,2,1,NA
Al Qasim,41,flu,2,NA,NA
Al Qasim,42,flu,NA,2,NA
Al Qasim,43,flu,3,3,NA
Al Qasim,44,flu,3,NA,NA
Al Qasim,45,flu,1,NA,NA
Al Qasim,46,flu,2,1,NA
Al Qasim,47,flu,3,1,NA
Al Qasim,49,flu,1,NA,NA
Al Qasim,50,flu,1,NA,NA
Al Qasim,51,flu,1,NA,NA
Al Qasim,52,flu,2,1,NA
Al Qasim,53,flu,1,NA,NA
Al Qasim,54,flu,1,5,NA
Al Qasim,56,flu,2,3,NA
Al Qasim,57,flu,14,21,NA
Al Qasim,58,flu,13,2,NA
Al Qasim,59,flu,14,3,NA
Al Qasim,60,flu,8,2,NA
Al Qasim,61,flu,9,2,NA
Al Qasim,62,flu,4,4,NA
Al Qasim,63,flu,14,2,NA
Al Qasim,64,flu,1,NA,NA
`Asir,0,flu,115,25,NA
`Asir,1,flu,14,1,NA
`Asir,2,flu,8,NA,NA
`Asir,3,flu,3,NA,NA
`Asir,6,flu,7,1,NA
`Asir,12,flu,NA,1,NA
`Asir,13,flu,3,NA,NA
`Asir,14,flu,1,1,NA
`Asir,16,flu,1,NA,NA
`Asir,17,flu,6,2,NA
`Asir,18,flu,3,2,NA
`Asir,19,flu,3,NA,NA
`Asir,20,flu,6,2,NA
`Asir,21,flu,11,1,NA
`Asir,22,flu,20,7,NA
`Asir,23,flu,17,5,NA
`Asir,24,flu,25,10,NA
`Asir,25,flu,14,3,NA
`Asir,26,flu,11,5,NA
`Asir,27,flu,19,7,NA
`Asir,28,flu,16,4,NA
`Asir,29,flu,16,3,NA
`Asir,30,flu,13,4,NA
`Asir,31,flu,13,6,NA
`Asir,32,flu,20,8,NA
`Asir,33,flu,161,70,NA
`Asir,34,flu,45,14,NA
`Asir,35,flu,13,7,NA
`Asir,36,flu,8,3,NA
`Asir,37,flu,7,1,NA
`Asir,38,flu,7,5,NA
`Asir,39,flu,14,8,NA
`Asir,40,flu,14,5,NA
`Asir,41,flu,8,3,NA
`Asir,42,flu,12,7,NA
`Asir,43,flu,19,9,NA
`Asir,44,flu,17,8,NA
`Asir,45,flu,9,1,NA
`Asir,46,flu,22,11,NA
`Asir,47,flu,4,3,NA
`Asir,48,flu,30,17,NA
`Asir,49,flu,30,19,NA
`Asir,50,flu,2,1,NA
`Asir,51,flu,3,NA,NA
`Asir,52,flu,9,1,NA
`Asir,53,flu,4,2,NA
`Asir,54,flu,6,5,NA
`Asir,55,flu,21,4,NA
`Asir,56,flu,10,14,NA
`Asir,57,flu,1,NA,NA
`Asir,58,flu,12,1,NA
`Asir,59,flu,14,2,NA
`Asir,60,flu,9,1,NA
`Asir,61,flu,14,2,NA
`Asir,62,flu,8,2,NA
`Asir,63,flu,15,3,NA
`Asir,64,flu,1,1,NA
`Asir,65,flu,2,NA,NA
`Asir,66,flu,4,2,NA
`Asir,67,flu,1,NA,NA
`Asir,68,flu,4,3,NA
`Asir,69,flu,1,NA,NA
`Asir,71,flu,6,NA,NA
`Asir,72,flu,12,1,NA
`Asir,73,flu,4,NA,NA
`Asir,74,flu,3,NA,NA
`Asir,75,flu,4,3,NA
`Asir,77,flu,NA,1,NA
`Asir,78,flu,2,NA,NA
`Asir,79,flu,3,NA,NA
`Asir,81,flu,1,NA,NA
`Asir,82,flu,1,NA,NA
`Asir,87,flu,1,NA,NA
