Region,Gender,n,pop,value,lowercl,uppercl,confidence,statistic,method,age
'Asir,female,161,335011,4.8058123464602657e-4,4.118727118375695e-4,5.607452695086268e-4,95%,proportion of 1,Wilson,0-18
'Asir,male,33,347751,9.48954855629459e-5,6.757479923601395e-5,1.3326053213625794e-4,95%,proportion of 1,Wilson,0-18
Al Bahah,female,38,57230,6.639874191857418e-4,4.838211249980802e-4,9.111832427960935e-4,95%,proportion of 1,Wilson,0-18
Al Bahah,male,2,59077,3.3854122585777885e-5,9.284070595063528e-6,1.2344015314774852e-4,95%,proportion of 1,Wilson,0-18
Al Hudud ash Shamaliyah,female,1,70350,1.4214641080312721e-5,2.50923759716574e-6,8.052046909075164e-5,95%,proportion of 1,Wilson,0-18
Al Hudud ash Shamaliyah,male,NA,73068,NA,NA,NA,95%,proportion of 1,Wilson,0-18
Al Jawf,female,1,118834,8.41510005553966e-6,1.4854733365086264e-6,4.766939811677578e-5,95%,proportion of 1,Wilson,0-18
Al Jawf,male,NA,122005,NA,NA,NA,95%,proportion of 1,Wilson,0-18
Al Madinah al Munawwarah,female,140,344611,4.062551688715682e-4,3.443131248628199e-4,4.7933526363704514e-4,95%,proportion of 1,Wilson,0-18
Al Madinah al Munawwarah,male,91,356392,2.5533682013064265e-4,2.0799299906994976e-4,3.134537665825248e-4,95%,proportion of 1,Wilson,0-18
Al Mintaqah ash Sharqiyah,female,31,718001,4.317542733227391e-5,3.0418456860943613e-5,6.128212093309943e-5,95%,proportion of 1,Wilson,0-18
Al Mintaqah ash Sharqiyah,male,23,745231,3.086291364690948e-5,2.0566644446166613e-5,4.631356035360884e-5,95%,proportion of 1,Wilson,0-18
Al Qasim,female,50,212368,2.3544036766367813e-4,1.7860580185694968e-4,3.103547783564549e-4,95%,proportion of 1,Wilson,0-18
Al Qasim,male,18,218990,8.219553404265035e-5,5.19954943331488e-5,1.299340912446532e-4,95%,proportion of 1,Wilson,0-18
Ar Riyadh,female,361,1140218,3.1660612268881916e-4,2.855916180605813e-4,3.5098753910767574e-4,95%,proportion of 1,Wilson,0-18
Ar Riyadh,male,122,1183501,1.0308398556486221e-4,8.634378814074835e-5,1.2306934659150835e-4,95%,proportion of 1,Wilson,0-18
Ha'il,female,34,123111,2.761735344526484e-4,1.9764919930879355e-4,3.858828750489806e-4,95%,proportion of 1,Wilson,0-18
Ha'il,male,6,126838,4.730443557924281e-5,2.1680221725139038e-5,1.032112071480145e-4,95%,proportion of 1,Wilson,0-18
Jazan,female,37,248625,1.4881850175967824e-4,1.0797572113681748e-4,2.0510725975937381e-4,95%,proportion of 1,Wilson,0-18
