Region,age_band,Female,Male
Al Bahah,"[  0,  5)",13905,14292
Al Bahah,"[  5, 10)",16234,16718
Al Bahah,"[ 10, 15)",15738,16437
Al Bahah,"[ 15, 20)",13866,14215
Al Bahah,"[ 20, 25)",11620,15217
Al Bahah,"[ 25, 30)",11446,20851
Al Bahah,"[ 30, 35)",11901,21944
Al Bahah,"[ 35, 40)",11884,20061
Al Bahah,"[ 40, 45)",9903,16681
Al Bahah,"[ 45, 50)",7009,11834
Al Bahah,"[ 50, 55)",5688,8822
Al Bahah,"[ 55, 60)",4579,6346
Al Bahah,"[ 60, 65)",3352,4088
Al Bahah,"[ 65, 70)",2299,2179
Al Bahah,"[ 70, 75)",1733,1598
Al Bahah,"[ 75, 80)",1473,1041
Al Bahah,"[ 80,118]",2286,1934
NA,"[  0,  5)",1250012,1299950
NA,"[  5, 10)",1338532,1390833
NA,"[ 10, 15)",1233291,1280948
NA,"[ 15, 20)",1066018,1102601
NA,"[ 20, 25)",1038927,1550218
NA,"[ 25, 30)",1230942,2482476
NA,"[ 30, 35)",1238959,2620028
NA,"[ 35, 40)",1101399,2331612
NA,"[ 40, 45)",829128,1798165
NA,"[ 45, 50)",585247,1221090
NA,"[ 50, 55)",458155,915707
NA,"[ 55, 60)",346702,637592
NA,"[ 60, 65)",249694,390518
NA,"[ 65, 70)",153816,210165
NA,"[ 70, 75)",93131,108881
NA,"[ 75, 80)",62627,66351
NA,"[ 80,118]",75133,77202
