region,crude.rate,adj.rate,lci,uci,gender
'Asir,1.9435071071625525e-4,1.8800248265553305e-4,1.600001036461606e-4,2.2167118386155705e-4,female
Al Bahah,5.727455905490077e-4,9.129793886202067e-4,7.177116366715927e-4,0.001149112595608586,female
Al Hudud ash Shamaliyah,0.00103115470464334,0.001764780622477432,0.0014771621660849474,0.0020966114576637046,female
Al Jawf,6.396545865232775e-4,5.842764851926262e-4,4.972503387634563e-4,6.926858673337558e-4,female
Al Madinah al Munawwarah,9.513110182284216e-4,0.0011987365396105467,0.001110400052491075,0.001293420064462163,female
Al Mintaqah ash Sharqiyah,0,0,NA,4.5145096815251625e-6,female
Al Qasim,2.9414360090596227e-4,6.477828951592474e-4,5.512976685291622e-4,7.562960380378466e-4,female
Ar Riyadh,3.1937354178714577e-4,3.4343206325260906e-4,3.22047154474321e-4,3.6622271300151257e-4,female
Ha'il,0,0,NA,2.86163381487102e-5,female
Jazan,0,0,NA,1.5183891169725303e-5,female
Makkah al Mukarramah,2.8639280937662784e-4,2.6085319566546063e-4,2.4367150889114284e-4,2.7936041019483197e-4,female
Najran,0,0,NA,4.28953475950043e-5,female
'Asir,0,0,NA,4.823360871405443e-6,male
Al Bahah,9.266027653944753e-5,9.797798151332836e-5,5.7826575436296654e-5,1.5996522912371835e-4,male
Al Hudud ash Shamaliyah,1.5848451513060988e-4,1.747629031961865e-4,1.2005656314266239e-4,2.486063031554496e-4,male
Al Jawf,0,0,NA,1.742341288304443e-5,male
Al Madinah al Munawwarah,0.0010891021713974542,0.0010844103376063897,0.0010273284410535443,0.001144287464437742,male
Al Mintaqah ash Sharqiyah,4.893148918705836e-5,5.0439286805569924e-5,4.292651353714502e-5,5.9156925822777906e-5,male
Al Qasim,0,0,NA,6.409232544068122e-6,male
Ar Riyadh,3.100881772611912e-4,3.1613823896466125e-4,3.003016040509942e-4,3.3268853599885146e-4,male
Ha'il,3.608431099263429e-4,2.9908989349915953e-4,2.5454139372758054e-4,3.5131651827011043e-4,male
Jazan,1.748734353511646e-4,1.5809633653897755e-4,1.329935418862826e-4,1.8741766891795415e-4,male
Makkah al Mukarramah,4.927313921137562e-4,4.324772791877148e-4,4.150675961725606e-4,4.505929700786346e-4,male
Najran,4.5723038410209956e-4,5.101159043121752e-4,4.341357433616897e-4,5.971106640272826e-4,male
