Region,age_band,Indicator,value,lowercl,uppercl,pop,count,gender
'Asir,"[0,5)",flu,162.6469631488452,136.81981361862327,191.9309772706054,86076,140,Female
'Asir,"[0,5)",injury,185.88224359868025,158.1940023027888,217.02137305221325,86076,160,Female
'Asir,"[5,10)",Smoking,0,0,3.9433434039722655,93547,0,Female
'Asir,"[5,10)",flu,7.482869573583332,3.0085016638907365,15.417571233393245,93547,7,Female
'Asir,"[10,15)",Smoking,5.565325794171991,1.8070461366826438,12.987613899203787,89842,5,Female
'Asir,"[10,15)",flu,4.452260635337593,1.2130911752034965,11.39955552570479,89842,4,Female
'Asir,"[15,20)",Smoking,48.69582589369327,34.623323755947325,66.57061811056343,80089,39,Female
'Asir,"[15,20)",flu,16.231941964564424,8.63444536036237,27.758777122265144,80089,13,Female
'Asir,"[20,25)",flu,111.91545424924564,88.60144542645132,139.48179355507662,70589,79,Female
'Asir,"[25,30)",Smoking,1.375232070411882,0.03481786149252547,7.662302676117581,72715,1,Female
'Asir,"[25,30)",flu,104.51763735130302,82.3449567321508,130.82112263041034,72715,76,Female
'Asir,"[30,35)",Smoking,8.250257820556891,3.0276992141503625,17.95733794777406,72725,6,Female
'Asir,"[30,35)",flu,346.5108284633895,305.0438448713813,392.0412891098233,72725,252,Female
'Asir,"[35,40)",flu,72.66795195017055,53.755851479693405,96.07295685216023,67430,49,Female
'Asir,"[40,45)",flu,132.2301560315841,103.0754862613908,167.06725816744236,52938,70,Female
'Asir,"[45,50)",Smoking,0,0,9.789240384560506,37683,0,Female
'Asir,"[45,50)",flu,252.1030703500252,203.96128008454633,308.18601690215803,37683,95,Female
'Asir,"[50,55)",Smoking,149.0969469011555,108.3235720152534,200.1605290625129,29511,44,Female
'Asir,"[50,55)",flu,81.32560740063028,52.091494357661844,121.01120406622708,29511,24,Female
'Asir,"[55,60)",flu,262.7644633715399,199.51622727644997,339.6900819558887,22073,58,Female
'Asir,"[60,65)",flu,297.24260055653934,218.3838714109663,395.2785542743897,15812,47,Female
'Asir,"[65,70)",flu,114.82154817720792,59.26236573609251,200.5823179946101,10451,12,Female
'Asir,"[70,75)",flu,320.47173439302657,207.3358020979004,473.0989705446143,7801,25,Female
'Asir,"[75,80)",flu,154.95867768595042,70.85697481712006,294.15983903958625,5808,9,Female
'Asir,"[80,85)",flu,51.800051800051804,6.273226587515281,187.11959771364823,3861,2,Female
'Asir,"[85,90)",flu,45.08566275924256,1.141470152582953,251.20123493863386,2218,1,Female
Al Bahah,"[0,5)",flu,230.13304566702627,157.38366030442026,324.8899655426124,13905,32,Female
Al Bahah,"[5,10)",flu,24.639645189109277,6.713474027512167,63.087277783686694,16234,4,Female
Al Bahah,"[15,20)",flu,14.423770373575653,1.7467855080337875,52.1036179700271,13866,2,Female
Al Bahah,"[20,25)",Smoking,206.5404475043029,132.29536058424773,307.3288849568354,11620,24,Female
Al Bahah,"[20,25)",flu,17.211703958691913,2.084417199173537,62.174592665438546,11620,2,Female
Al Bahah,"[20,25)",injury,137.6936316695353,78.65326091687248,223.61822886455468,11620,16,Female
Al Bahah,"[25,30)",Smoking,0,0,32.228546689794996,11446,0,Female
Al Bahah,"[25,30)",flu,26.210029704700336,5.405138239521244,76.59682919572185,11446,3,Female
Al Bahah,"[25,30)",injury,96.10344225056788,47.90922766424929,171.966076499619,11446,11,Female
Al Bahah,"[30,35)",flu,0,0,30.996382271354808,11901,0,Female
Al Bahah,"[30,35)",injury,184.8584152592219,115.8095347585377,279.8905871736905,11901,22,Female
Al Bahah,"[35,40)",Smoking,25.24402558061259,5.20592496546282,73.77375521493035,11884,3,Female
Al Bahah,"[35,40)",flu,33.65870077415012,9.170863123748951,86.17964216933439,11884,4,Female
Al Bahah,"[35,40)",injury,0,0,31.040722434482795,11884,0,Female
Al Bahah,"[40,45)",Smoking,10.097950116126427,0.2556579620750267,56.262177026546496,9903,1,Female
Al Bahah,"[40,45)",flu,10.097950116126427,0.2556579620750267,56.262177026546496,9903,1,Female
Al Bahah,"[40,45)",injury,10.097950116126427,0.2556579620750267,56.262177026546496,9903,1,Female
Al Bahah,"[45,50)",flu,28.534741047224998,3.4556895212436154,103.07729587279154,7009,2,Female
Al Bahah,"[45,50)",injury,470.82322727921246,324.040170041598,661.2321575296519,7009,33,Female
Al Bahah,"[50,55)",flu,70.32348804500704,19.160783643219503,180.05605969415782,5688,4,Female
Al Bahah,"[55,60)",flu,698.8425420397466,477.9252667685005,986.5898604214949,4579,32,Female
Al Bahah,"[60,65)",flu,626.491646778043,387.66099366875625,957.7040656049182,3352,21,Female
Al Bahah,"[70,75)",flu,57.703404500865545,1.4609237151927235,321.50279232192145,1733,1,Female
Al Hudud ash Shamaliyah,"[0,5)",flu,4.951475539710834,0.12536050695330705,27.587855966225487,20196,1,Female
Al Hudud ash Shamaliyah,"[20,25)",Smoking,7.371913011426465,0.18664067810018356,41.07367040869074,13565,1,Female
Al Hudud ash Shamaliyah,"[20,25)",flu,7.371913011426465,0.18664067810018356,41.07367040869074,13565,1,Female
Al Hudud ash Shamaliyah,"[20,25)",injury,221.15739034279397,149.1849546130954,315.7270323774324,13565,30,Female
Al Hudud ash Shamaliyah,"[25,30)",Smoking,20.008003201280513,4.126131271812736,58.47187588196828,14994,3,Female
Al Hudud ash Shamaliyah,"[25,30)",injury,140.0560224089636,86.66397564210156,214.10057542401535,14994,21,Female
Al Hudud ash Shamaliyah,"[30,35)",flu,0,0,25.930545860494416,14226,0,Female
Al Hudud ash Shamaliyah,"[30,35)",injury,217.91086742584002,148.03276716455818,309.31764223938893,14226,31,Female
Al Hudud ash Shamaliyah,"[35,40)",injury,0,0,29.45448302550252,12524,0,Female
Al Hudud ash Shamaliyah,"[40,45)",injury,171.95056421278883,98.22148219817929,279.25242551382325,9305,16,Female
Al Hudud ash Shamaliyah,"[45,50)",Smoking,47.341013097680296,9.762855024390115,138.35052974187033,6337,3,Female
Al Hudud ash Shamaliyah,"[45,50)",injury,1041.5022881489663,805.459643957184,1325.0667472914092,6337,66,Female
Al Hudud ash Shamaliyah,"[55,60)",flu,28.935185185185183,0.7325754625083882,161.21653330263015,3456,1,Female
Al Jawf,"[0,5)",Smoking,50.74711023400056,30.060599836026775,80.20648410607885,35470,18,Female
Al Jawf,"[0,5)",flu,2.8192839018889204,0.07137808848122328,15.708044519139834,35470,1,Female
Al Jawf,"[5,10)",Smoking,62.82842129312315,39.36055726414659,95.12730974280588,35016,22,Female
Al Jawf,"[15,20)",injury,695.0175926328135,591.4906799102927,811.4474482794974,23021,160,Female
Al Jawf,"[20,25)",Smoking,109.690957649752,69.5124507755331,164.59753091829424,20968,23,Female
Al Jawf,"[35,40)",flu,0,0,20.72520621447236,17799,0,Female
Al Jawf,"[45,50)",Smoking,31.942078364565585,6.58722447716782,93.34830781241826,9392,3,Female
Al Jawf,"[50,55)",Smoking,13.368983957219251,0.3384733687739291,74.48721110880881,7480,1,Female
Al Jawf,"[55,60)",Smoking,74.14272474513439,20.201397101507418,189.83482252833545,5395,4,Female
Al Jawf,"[85,90)",Smoking,273.972602739726,6.936385749120521,1526.4776413531229,365,1,Female
Al Jawf,"[90,95)",Smoking,0,0,2049.377474507742,180,0,Female
