Region,Gender,age,Population,age_band,1844,15+,paed,older
'Asir,Female,0,16406,"[0,5)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,1,16226,"[0,5)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,10,18079,"[10,15)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,100,476,"[100,105)",FALSE,TRUE,FALSE,TRUE
'Asir,Female,11,18354,"[10,15)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,12,18382,"[10,15)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,13,17621,"[10,15)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,14,17406,"[10,15)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,15,17118,"[15,20)",FALSE,TRUE,TRUE,FALSE
'Asir,Female,16,16799,"[15,20)",FALSE,TRUE,TRUE,FALSE
'Asir,Female,17,16245,"[15,20)",FALSE,TRUE,TRUE,FALSE
'Asir,Female,18,15384,"[15,20)",TRUE,TRUE,TRUE,FALSE
'Asir,Female,19,14543,"[15,20)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,2,17067,"[0,5)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,20,14319,"[20,25)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,21,13942,"[20,25)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,22,14289,"[20,25)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,23,13949,"[20,25)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,24,14090,"[20,25)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,25,14419,"[25,30)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,26,14124,"[25,30)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,27,14670,"[25,30)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,28,14581,"[25,30)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,29,14921,"[25,30)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,3,17654,"[0,5)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,30,13982,"[30,35)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,31,14279,"[30,35)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,32,14822,"[30,35)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,33,14811,"[30,35)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,34,14831,"[30,35)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,35,14650,"[35,40)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,36,14154,"[35,40)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,37,13244,"[35,40)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,38,12887,"[35,40)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,39,12495,"[35,40)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,4,18723,"[0,5)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,40,11845,"[40,45)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,41,11249,"[40,45)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,42,10440,"[40,45)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,43,9987,"[40,45)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,44,9417,"[40,45)",TRUE,TRUE,FALSE,FALSE
'Asir,Female,45,8234,"[45,50)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,46,8030,"[45,50)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,47,7369,"[45,50)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,48,6906,"[45,50)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,49,7144,"[45,50)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,5,18888,"[5,10)",FALSE,FALSE,TRUE,FALSE
'Asir,Female,50,6358,"[50,55)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,51,6131,"[50,55)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,52,6147,"[50,55)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,53,5700,"[50,55)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,54,5175,"[50,55)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,55,5065,"[55,60)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,56,4813,"[55,60)",FALSE,TRUE,FALSE,FALSE
'Asir,Female,57,4492,"[55,60)",FALSE,TRUE,FALSE,FALSE
